Instance,cluster
30n20b8.json,4
50v-10.json,4
CMS750_4.json,8
academictimetablesmall.json,6
air05.json,4
app1-1.json,8
app1-2.json,8
assign1-5-8.json,2
atlanta-ip.json,4
b1c1s1.json,3
bab2.json,4
bab6.json,4
beasleyC3.json,8
binkar10_1.json,3
blp-ar98.json,7
blp-ic98.json,7
bnatt400.json,7
bppc4-08.json,2
brazil3.json,7
buildingenergy.json,3
cbs-cta.json,3
chromaticindex1024-7.json,5
chromaticindex512-7.json,5
cmflsp50-24-8-8.json,3
co-100.json,4
cod105.json,6
comp07-2idx.json,8
comp21-2idx.json,8
cost266-UUE.json,1
cryptanalysiskb128n5obj16.json,7
csched007.json,2
csched008.json,7
cvs16r128-89.json,6
dano3_3.json,7
dano3_5.json,7
decomp2.json,5
drayage-100-23.json,8
drayage-25-23.json,8
dws008-01.json,4
eil33-2.json,4
eilA101-2.json,4
enlight_hard.json,5
ex10.json,5
ex9.json,5
exp-1-500-5-5.json,1
fast0507.json,4
fastxgemm-n2r6s0t2.json,1
fiball.json,7
gen-ip002.json,4
gen-ip054.json,4
germanrr.json,7
gfd-schedulen180f7d50m30k18.json,5
glass-sc.json,5
glass4.json,1
gmu-35-40.json,6
gmu-35-50.json,6
graph20-20-1rand.json,6
graphdraw-domain.json,1
h80x6320d.json,8
hypothyroid-k1.json,6
ic97_potential.json,1
icir97_tension.json,2
irish-electricity.json,2
irp.json,4
istanbul-no-cutoff.json,3
k1mushroom.json,6
lectsched-5-obj.json,5
leo1.json,7
leo2.json,7
lotsize.json,1
mad.json,2
map10.json,3
map16715-04.json,3
markshare2.json,2
markshare_4_0.json,2
mas74.json,4
mas76.json,4
mc11.json,8
mcsched.json,7
mik-250-20-75-4.json,4
milo-v12-6-r2-40-1.json,3
momentum1.json,3
mushroom-best.json,5
mzzv11.json,4
mzzv42z.json,4
n2seq36q.json,4
n3div36.json,6
n5-3.json,2
neos-1122047.json,1
neos-1171448.json,3
neos-1171737.json,3
neos-1354092.json,5
neos-1445765.json,4
neos-1456979.json,4
neos-1582420.json,4
neos-2657525-crna.json,4
neos-2746589-doon.json,4
neos-2978193-inde.json,1
neos-2987310-joes.json,3
neos-3024952-loue.json,4
neos-3046615-murg.json,2
neos-3083819-nubu.json,4
neos-3216931-puriri.json,6
neos-3381206-awhea.json,5
neos-3402294-bobin.json,2
neos-3555904-turama.json,8
neos-3627168-kasai.json,2
neos-3656078-kumeu.json,3
neos-3754480-nidda.json,1
neos-4300652-rahue.json,4
neos-4387871-tavua.json,4
neos-4413714-turia.json,7
neos-4532248-waihi.json,7
neos-4647030-tutaki.json,2
neos-4722843-widden.json,3
neos-4738912-atrato.json,4
neos-4763324-toguru.json,4
neos-4954672-berkel.json,1
neos-5049753-cuanza.json,2
neos-5052403-cygnet.json,5
neos-5093327-huahum.json,2
neos-5104907-jarama.json,2
neos-5107597-kakapo.json,1
neos-5114902-kasavu.json,2
neos-5188808-nattai.json,2
neos-5195221-niemur.json,3
neos-631710.json,5
neos-662469.json,4
neos-787933.json,5
neos-827175.json,3
neos-848589.json,1
neos-860300.json,4
neos-873061.json,4
neos-911970.json,2
neos-933966.json,6
neos-950242.json,6
neos-957323.json,4
neos-960392.json,6
neos17.json,1
neos5.json,5
neos8.json,4
net12.json,4
netdiversion.json,6
nexp-150-20-8-5.json,6
ns1116954.json,7
ns1208400.json,1
ns1644855.json,3
ns1760995.json,1
ns1830653.json,4
nu25-pr12.json,4
nursesched-medium-hint03.json,6
nursesched-sprint02.json,6
nw04.json,4
opm2-z10-s4.json,4
p200x1188c.json,8
peg-solitaire-a3.json,5
pg.json,1
pg5_34.json,1
physiciansched3-3.json,2
physiciansched6-2.json,2
piperout-08.json,5
piperout-27.json,5
pk1.json,7
proteindesign121hz512p9.json,7
proteindesign122trx11p8.json,7
qap10.json,4
rail01.json,4
rail02.json,4
rail507.json,4
ran14x18-disj-8.json,1
rd-rplusc-21.json,1
reblock115.json,4
rmatr100-p10.json,2
rmatr200-p5.json,2
rocI-4-11.json,6
rocII-5-11.json,1
rococoB10-011000.json,7
rococoC10-001000.json,7
roi2alpha3n4.json,3
roi5alpha10n8.json,3
roll3000.json,7
s100.json,4
s250r10.json,4
satellites2-40.json,6
satellites2-60-fs.json,6
savsched1.json,1
sct2.json,3
seymour1.json,2
sing326.json,3
sing44.json,3
snp-02-004-104.json,3
sorrell3.json,6
sp150x300d.json,8
sp97ar.json,4
sp98ar.json,4
splice1k1.json,6
square41.json,5
square47.json,5
supportcase10.json,8
supportcase12.json,3
supportcase19.json,4
supportcase22.json,8
supportcase26.json,2
supportcase33.json,4
supportcase40.json,3
supportcase42.json,2
supportcase7.json,2
swath1.json,7
swath3.json,7
tbfp-network.json,4
thor50dday.json,8
timtab1.json,1
tr12-30.json,1
traininstance2.json,5
traininstance6.json,5
trento1.json,4
triptim1.json,7
uccase12.json,3
uccase9.json,3
uct-subprob.json,1
unitcal_7.json,3
var-smallemery-m6j6.json,2
wachplan.json,6
