Instance,cluster
30n20b8.json,4
50v-10.json,4
CMS750_4.json,2
academictimetablesmall.json,4
air05.json,4
app1-1.json,2
app1-2.json,2
assign1-5-8.json,1
atlanta-ip.json,4
b1c1s1.json,2
bab2.json,4
bab6.json,4
beasleyC3.json,2
binkar10_1.json,2
blp-ar98.json,3
blp-ic98.json,3
bnatt400.json,3
bppc4-08.json,1
brazil3.json,3
buildingenergy.json,2
cbs-cta.json,2
chromaticindex1024-7.json,4
chromaticindex512-7.json,4
cmflsp50-24-8-8.json,2
co-100.json,4
cod105.json,4
comp07-2idx.json,2
comp21-2idx.json,2
cost266-UUE.json,2
cryptanalysiskb128n5obj16.json,3
csched007.json,1
csched008.json,3
cvs16r128-89.json,4
dano3_3.json,3
dano3_5.json,3
decomp2.json,4
drayage-100-23.json,2
drayage-25-23.json,2
dws008-01.json,2
eil33-2.json,4
eilA101-2.json,4
enlight_hard.json,4
ex10.json,4
ex9.json,4
exp-1-500-5-5.json,2
fast0507.json,4
fastxgemm-n2r6s0t2.json,2
fiball.json,3
gen-ip002.json,4
gen-ip054.json,4
germanrr.json,3
gfd-schedulen180f7d50m30k18.json,4
glass-sc.json,4
glass4.json,2
gmu-35-40.json,4
gmu-35-50.json,4
graph20-20-1rand.json,4
graphdraw-domain.json,2
h80x6320d.json,2
hypothyroid-k1.json,4
ic97_potential.json,2
icir97_tension.json,1
irish-electricity.json,1
irp.json,4
istanbul-no-cutoff.json,2
k1mushroom.json,4
lectsched-5-obj.json,4
leo1.json,3
leo2.json,3
lotsize.json,2
mad.json,1
map10.json,4
map16715-04.json,4
markshare2.json,1
markshare_4_0.json,1
mas74.json,4
mas76.json,4
mc11.json,2
mcsched.json,3
mik-250-20-75-4.json,4
milo-v12-6-r2-40-1.json,2
momentum1.json,2
mushroom-best.json,4
mzzv11.json,2
mzzv42z.json,2
n2seq36q.json,4
n3div36.json,4
n5-3.json,1
neos-1122047.json,2
neos-1171448.json,4
neos-1171737.json,4
neos-1354092.json,4
neos-1445765.json,4
neos-1456979.json,2
neos-1582420.json,4
neos-2657525-crna.json,4
neos-2746589-doon.json,4
neos-2978193-inde.json,2
neos-2987310-joes.json,2
neos-3024952-loue.json,4
neos-3046615-murg.json,1
neos-3083819-nubu.json,4
neos-3216931-puriri.json,4
neos-3381206-awhea.json,4
neos-3402294-bobin.json,1
neos-3555904-turama.json,2
neos-3627168-kasai.json,1
neos-3656078-kumeu.json,2
neos-3754480-nidda.json,2
neos-4300652-rahue.json,4
neos-4387871-tavua.json,4
neos-4413714-turia.json,3
neos-4532248-waihi.json,3
neos-4647030-tutaki.json,1
neos-4722843-widden.json,2
neos-4738912-atrato.json,4
neos-4763324-toguru.json,4
neos-4954672-berkel.json,2
neos-5049753-cuanza.json,1
neos-5052403-cygnet.json,4
neos-5093327-huahum.json,1
neos-5104907-jarama.json,1
neos-5107597-kakapo.json,2
neos-5114902-kasavu.json,1
neos-5188808-nattai.json,1
neos-5195221-niemur.json,2
neos-631710.json,4
neos-662469.json,4
neos-787933.json,4
neos-827175.json,2
neos-848589.json,2
neos-860300.json,4
neos-873061.json,4
neos-911970.json,1
neos-933966.json,4
neos-950242.json,4
neos-957323.json,4
neos-960392.json,4
neos17.json,2
neos5.json,4
neos8.json,4
net12.json,4
netdiversion.json,4
nexp-150-20-8-5.json,4
ns1116954.json,3
ns1208400.json,2
ns1644855.json,4
ns1760995.json,2
ns1830653.json,4
nu25-pr12.json,4
nursesched-medium-hint03.json,4
nursesched-sprint02.json,4
nw04.json,4
opm2-z10-s4.json,4
p200x1188c.json,2
peg-solitaire-a3.json,4
pg.json,2
pg5_34.json,2
physiciansched3-3.json,1
physiciansched6-2.json,1
piperout-08.json,4
piperout-27.json,4
pk1.json,3
proteindesign121hz512p9.json,3
proteindesign122trx11p8.json,3
qap10.json,4
rail01.json,2
rail02.json,2
rail507.json,4
ran14x18-disj-8.json,2
rd-rplusc-21.json,2
reblock115.json,4
rmatr100-p10.json,1
rmatr200-p5.json,1
rocI-4-11.json,4
rocII-5-11.json,2
rococoB10-011000.json,3
rococoC10-001000.json,3
roi2alpha3n4.json,4
roi5alpha10n8.json,4
roll3000.json,3
s100.json,4
s250r10.json,2
satellites2-40.json,4
satellites2-60-fs.json,4
savsched1.json,2
sct2.json,2
seymour1.json,1
sing326.json,2
sing44.json,2
snp-02-004-104.json,2
sorrell3.json,4
sp150x300d.json,2
sp97ar.json,4
sp98ar.json,4
splice1k1.json,4
square41.json,4
square47.json,4
supportcase10.json,2
supportcase12.json,4
supportcase19.json,4
supportcase22.json,4
supportcase26.json,1
supportcase33.json,2
supportcase40.json,2
supportcase42.json,1
supportcase7.json,1
swath1.json,3
swath3.json,3
tbfp-network.json,4
thor50dday.json,2
timtab1.json,2
tr12-30.json,2
traininstance2.json,4
traininstance6.json,4
trento1.json,4
triptim1.json,3
uccase12.json,1
uccase9.json,1
uct-subprob.json,2
unitcal_7.json,2
var-smallemery-m6j6.json,1
wachplan.json,4
